"movie_id","title","description","rating","rank","release_year"
5294550,"All the Money in the World","The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.","6.90",4,2017
5294966,"After the Storm","After the death of his father, a private detective struggles to find child support money and reconnect with his son and ex-wife.","7.40",3,2016
5304464,"Happy End","A drama about a family set in Calais with the European refugee crisis as the backdrop.","6.90",4,2017
5478478,"Hostiles","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.","7.30",3,2017
5598102,"Faces Places","Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.","8.00",2,2017
5678110,"Re: Born","A legend covert soldier with a mysterious past now decides to once again unleash his beast inside of him to stand up for what he cares about.","6.00",4,2016
5711148,"Film Stars Don't Die in Liverpool","A romance sparks between a young actor and a Hollywood leading lady.","6.80",4,2017
5742374,"You Were Never Really Here","A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.","7.10",3,2017
5751998,"Small Town Crime","An alcoholic ex-cop (Hawkes) finds the body of a young woman and, through an act of self-redemption, becomes hell-bent on finding the killer but unwittingly puts his family in danger and ...","6.60",4,2017
5757738,"The Boy with the Topknot","One-off drama based on the critically acclaimed memoirs of British journalist Sathnam Sanghera. A touching, humorous and emotional rites-of-passage story.","6.70",4,2017
5776858,"Phantom Thread","Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.","7.70",3,2017
5796838,"Roxanne Roxanne","In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita &quot;Roxanne ...","6.10",4,2017
5797164,"Dear Etranger","A 40-year old man sees his life change when his wife gets pregnant. He already has a daughter from his first marriage whom he rarely sees and two step-daughters, from his wife's first ...","7.00",3,2017
5818010,"The Secret Rules of Modern Living: Algorithms","Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.","7.50",3,2015
5836316,"The Last Movie Star","An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old.","6.80",4,2017
5859238,"Lucky","The spiritual journey of a ninety-year-old atheist.","7.40",3,2017
5903088,"Dead on Arrival","A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.","6.90",4,2017
5999530,"Before We Vanish","Three aliens travel to Earth in preparation for a mass invasion, taking possession of human bodies.","6.00",4,2017
6015328,"Chasing the Dragon","An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.","6.90",4,2017
6061074,"First Match","Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys wrestling team is the only way back to her estranged father.","6.10",4,2018
6101820,"Perfect Strangers","Seven friends gather for dinner and decide to play a game in which all incoming messages and calls will be on display for the entire group, leading to a series of revelations that gradually unravels their 'normal' lives.","7.00",3,2017
6135042,"Birdshot","&quot;Birdshot&quot; is a mystery-thriller film that tells a story of a young Filipina farm girl who wanders into the boundaries of a Philippine reservation forest. Deep within the reservation she ...","6.80",4,2016
6143568,"The Humanity Bureau","A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.","6.10",4,2017
6190198,"My Teacher","Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but ...","6.00",4,2017
6294822,"The Post","A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.","7.20",3,2017
6336356,"Mary and the Witch's Flower","Based on &quot;The Little Broomstick&quot; by Mary Stewart, a strange flower grants a girl magic powers.","6.80",4,2017
6410564,"The Third Murder","A courtroom drama centered around the murder of a factory president.","6.80",4,2017
6413410,"V.I.P.","The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.","6.40",4,2017
6522634,"The Lost Brother","Cetarti, a public employee who has just been fired, travels from Buenos Aires to Lapachito, a lonely town in the Chaco province. He must take care of the corpses of his mother and brother ...","6.70",4,2017
6543420,"Andre the Giant","A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.","8.20",2,2018
6548966,"Fairy Tail: The Movie - Dragon Cry","In the new film, based on the Hiro Mashima's manga, Natsu Dragneel and his friends travel to the island Kingdom of Stella, where they will reveal dark secrets, fight the new enemies and once again save the world from destruction.","7.50",3,2017
6738046,"The Anthem of the Heart","Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a ...","6.20",4,2017
6874964,"Jesus Christ Superstar Live in Concert","A live musical recounting the final days of Jesus Christ and those around him.","8.00",2,2018
6900092,"Blood Road","The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.","6.90",4,2017
6903636,"Grace Jones: Bloodlight and Bami","Larger than life, wild, scary and androgynous - Grace Jones plays all these parts. Yet here we also discover her as a lover, daughter, mother, sister and even grandmother, as she submits ...","6.10",4,2017
7017474,"Ferrari 312B: Where the Revolution Begins","In a race against time and all odds, the revolutionary F1 racing car Ferrari 312B will get back on the Monaco circuit, 46 years later, under the wing of its creator, the genius engineer Mauro Forghieri.","7.00",3,2017
7026230,"Patton Oswalt: Annihilation","Patton Oswalt, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Oswalt continues his journey to contribute joy to the world.","7.40",3,2017
7133554,"Silent Night","Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.","7.50",3,2017
7167602,"Suicide Squad: Hell to Pay","Task Force X targets a powerful mystical object that they will risk their lives to steal.","7.20",3,2018
7215388,"The China Hustle","An unsettling and eye-opening Wall Street horror story about Chinese companies, the American stock market, and the opportunistic greed behind the biggest heist you've never heard of.","6.80",4,2017
7260048,"Outside In","An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.","6.40",4,2017
7379330,"Tom Segura: Disgraceful","Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.","7.50",3,2018
7614404,"89","The true story of a sporting miracle, when Arsenal went to Anfield on the last day of the 1988/89 season needing to beat the best team in England by two clear goals to snatch the title.","8.10",2,2017
7630164,"Big Time","BIG TIME follows Bjarke Ingels during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails.","6.20",4,2017
8144778,"The Redeemed and the Dominant: Fittest on Earth","In 2017 the fittest athletes on Earth took on the unknown and unknowable during four of the most intense days of competition in CrossFit Games history. &quot;The Redeemed and the Dominant: ...","7.10",3,2018
